epoch,accuracy,loss,one_hot_mean_io_u,val_accuracy,val_loss,val_one_hot_mean_io_u
0,0.6815677881240845,1.0512490272521973,0.15276126563549042,0.24718976020812988,12.604297637939453,0.04675274342298508
1,0.7411191463470459,0.8026025891304016,0.19273242354393005,0.5640907883644104,1.4011152982711792,0.10733411461114883
2,0.7629764080047607,0.7395216822624207,0.21432968974113464,0.6589484810829163,0.9887778759002686,0.14607197046279907
3,0.7814705967903137,0.6849813461303711,0.22754976153373718,0.7588764429092407,0.8255931735038757,0.19888487458229065
4,0.79497891664505,0.6455965638160706,0.24073609709739685,0.810737669467926,0.6969696879386902,0.2295171320438385
5,0.80267733335495,0.6243539452552795,0.251148521900177,0.7995626926422119,0.6922886371612549,0.2324378788471222
6,0.8064340353012085,0.6148006319999695,0.2539786100387573,0.8062873482704163,0.6778895854949951,0.22962355613708496
7,0.8178616166114807,0.5786445736885071,0.26714637875556946,0.8352804183959961,0.5580158829689026,0.26854994893074036
8,0.8233019709587097,0.5654025077819824,0.2733866572380066,0.8077731728553772,0.6978292465209961,0.2551767826080322
9,0.829501748085022,0.5466243028640747,0.27756017446517944,0.8226383328437805,0.6023784279823303,0.2539643943309784
10,0.8366305232048035,0.5252363681793213,0.28996074199676514,0.8390029668807983,0.553259551525116,0.27555906772613525
11,0.8327668905258179,0.5339899659156799,0.2851128876209259,0.816642701625824,0.6839762330055237,0.24900206923484802
12,0.8422487378120422,0.5057263970375061,0.29486146569252014,0.8151299357414246,0.6300545930862427,0.2678261995315552
13,0.8467657566070557,0.4895331859588623,0.3018547296524048,0.8451416492462158,0.5200268030166626,0.279394268989563
14,0.8510133624076843,0.4771113097667694,0.3068178594112396,0.8388440608978271,0.5716846585273743,0.2795026898384094
15,0.8494135737419128,0.47819235920906067,0.30613166093826294,0.7447719573974609,0.7689192295074463,0.2531185448169708
16,0.854211688041687,0.4667659401893616,0.31328973174095154,0.8137751221656799,0.6225398778915405,0.2647310793399811
17,0.8539350628852844,0.46476244926452637,0.3140772879123688,0.8383026123046875,0.550579309463501,0.2855968773365021
18,0.8588041067123413,0.4489681124687195,0.319284588098526,0.8244100213050842,0.5829429626464844,0.2815697193145752
19,0.8646295070648193,0.42922377586364746,0.32868680357933044,0.8513052463531494,0.505059003829956,0.3004566431045532
20,0.8645356297492981,0.42985647916793823,0.3263097107410431,0.8531554341316223,0.4873740077018738,0.3020728528499603
21,0.8671296834945679,0.41821786761283875,0.34232956171035767,0.817957878112793,0.5883944630622864,0.27266645431518555
22,0.8720763325691223,0.4047513008117676,0.340881884098053,0.844666600227356,0.512359082698822,0.30044394731521606
23,0.8774005770683289,0.38638585805892944,0.3534209132194519,0.8472400903701782,0.5064399242401123,0.3029928505420685
24,0.8707193732261658,0.40652114152908325,0.3443731665611267,0.8069442510604858,0.6940657496452332,0.26413029432296753
25,0.8748146295547485,0.39456573128700256,0.3482087254524231,0.8524904847145081,0.4962806701660156,0.3145012855529785
26,0.8810222148895264,0.37274760007858276,0.35933229327201843,0.8423314094543457,0.4989612400531769,0.3155593276023865
27,0.8845312595367432,0.36136215925216675,0.37682580947875977,0.8572629690170288,0.47260454297065735,0.31423333287239075
28,0.8842468857765198,0.3603273928165436,0.370649129152298,0.8567156791687012,0.46448540687561035,0.3259817957878113
29,0.8862307667732239,0.3549189865589142,0.3727056384086609,0.8571558594703674,0.472775399684906,0.3096630871295929
30,0.8889167308807373,0.3454248607158661,0.3773125112056732,0.860557496547699,0.4572521150112152,0.3257584869861603
31,0.8909192681312561,0.3402963876724243,0.3976007103919983,0.8606525659561157,0.4490114748477936,0.3373989462852478
32,0.89239501953125,0.33450937271118164,0.3967190086841583,0.8640164732933044,0.449221670627594,0.33983561396598816
33,0.8937278389930725,0.3260963559150696,0.3968769609928131,0.8572706580162048,0.470974862575531,0.3385959267616272
34,0.8880269527435303,0.3462512195110321,0.38909485936164856,0.8571872711181641,0.4992311894893646,0.3246171772480011
35,0.8964418768882751,0.3180069327354431,0.40967923402786255,0.8631773591041565,0.46296802163124084,0.33081355690956116
36,0.8989450335502625,0.3095673620700836,0.41207724809646606,0.864075779914856,0.44194284081459045,0.3457474112510681
37,0.9014197587966919,0.2993967831134796,0.42374271154403687,0.8684065341949463,0.43147706985473633,0.35092082619667053
38,0.902614176273346,0.296783983707428,0.4333166182041168,0.8656090497970581,0.44765278697013855,0.3493150770664215
39,0.9075754880905151,0.28083330392837524,0.44591742753982544,0.8732883930206299,0.4273994266986847,0.3660888075828552
40,0.9075641632080078,0.28096941113471985,0.4527892470359802,0.8646958470344543,0.4633537530899048,0.3411245346069336
41,0.9012723565101624,0.3010730445384979,0.4191431403160095,0.8593141436576843,0.5115780830383301,0.32949531078338623
42,0.9088577032089233,0.2743423879146576,0.44954752922058105,0.8663750886917114,0.43781256675720215,0.3531683385372162
43,0.9120182991027832,0.26438799500465393,0.4608589708805084,0.871357798576355,0.4381923973560333,0.36843788623809814
44,0.9129874110221863,0.2600509226322174,0.46324601769447327,0.8672166466712952,0.43820515275001526,0.3699168264865875
45,0.9164355397224426,0.24963738024234772,0.48827242851257324,0.8738782405853271,0.43586015701293945,0.36178380250930786
46,0.916733980178833,0.24821028113365173,0.48495322465896606,0.8684592247009277,0.45563584566116333,0.3584076762199402
47,0.9150179028511047,0.2557207942008972,0.4770933985710144,0.8671627044677734,0.45187902450561523,0.3664146363735199
48,0.9193811416625977,0.24200129508972168,0.4979062080383301,0.8682511448860168,0.4447595179080963,0.36385589838027954
49,0.9213328957557678,0.2339923232793808,0.5115481615066528,0.8684892654418945,0.4546540379524231,0.36642688512802124
50,0.9223144054412842,0.23017367720603943,0.5007361173629761,0.8649874329566956,0.46605196595191956,0.36135825514793396
51,0.9235588908195496,0.2268577516078949,0.5213145613670349,0.8723833560943604,0.4299623966217041,0.36907586455345154
52,0.9264925718307495,0.21637123823165894,0.5232349634170532,0.8691564798355103,0.445338636636734,0.3759390711784363
53,0.9265074133872986,0.21934443712234497,0.5247336030006409,0.8539194464683533,0.509730339050293,0.3507777452468872
54,0.9231654405593872,0.22858713567256927,0.5179402232170105,0.8548312783241272,0.5069653987884521,0.3504870533943176
55,0.918125569820404,0.2444537878036499,0.5111736059188843,0.8607664704322815,0.47407087683677673,0.3689773976802826
56,0.9281604886054993,0.21285133063793182,0.534392237663269,0.8768882155418396,0.43466711044311523,0.37619322538375854
57,0.9288502335548401,0.21046198904514313,0.5412936210632324,0.8711248636245728,0.46296897530555725,0.37084323167800903
58,0.9340234398841858,0.19404548406600952,0.5766483545303345,0.8743366003036499,0.441558837890625,0.3869985342025757
59,0.9367418885231018,0.18603312969207764,0.5821672677993774,0.869846522808075,0.46379390358924866,0.38138946890830994
60,0.9373759627342224,0.18436338007450104,0.5826008319854736,0.8805918097496033,0.42902252078056335,0.38812199234962463
61,0.9380849599838257,0.18072785437107086,0.5924676060676575,0.872472882270813,0.47333991527557373,0.3690587878227234
62,0.9396002292633057,0.17733460664749146,0.6007013320922852,0.8717864155769348,0.4610968828201294,0.38193970918655396
63,0.9395990371704102,0.1769500970840454,0.6013705730438232,0.8749186396598816,0.4694240987300873,0.38522815704345703
64,0.939211905002594,0.17875328660011292,0.6012135744094849,0.8748939633369446,0.46982109546661377,0.3863966464996338
65,0.940485954284668,0.17427797615528107,0.6093400716781616,0.8673205375671387,0.47229382395744324,0.3803144693374634
66,0.941207230091095,0.1721499264240265,0.6146731972694397,0.8680358529090881,0.48911428451538086,0.36646512150764465
67,0.9351207613945007,0.19258403778076172,0.5937431454658508,0.8701695799827576,0.4840293228626251,0.37291663885116577
68,0.9439507722854614,0.1638948768377304,0.6349497437477112,0.8782524466514587,0.4508935511112213,0.38983312249183655
69,0.9466626048088074,0.1557261198759079,0.6542233228683472,0.8755989670753479,0.4750545024871826,0.3815782368183136
70,0.9485436081886292,0.14975357055664062,0.6721500158309937,0.8795458674430847,0.458644300699234,0.3945823907852173
71,0.9483286738395691,0.15020781755447388,0.6723456382751465,0.8793430328369141,0.4546588659286499,0.38326022028923035
