epoch,accuracy,loss,val_accuracy,val_loss
0,0.32494354248046875,2.706084728240967,0.13775940239429474,13.257001876831055
1,0.48296815156936646,2.0992772579193115,0.20536041259765625,12.737692832946777
2,0.5256026983261108,1.7821762561798096,0.183216854929924,13.065464973449707
3,0.5766922235488892,1.5094797611236572,0.12692566215991974,13.959692001342773
4,0.6167755126953125,1.3640127182006836,0.14420929551124573,13.71098804473877
5,0.6339355707168579,1.1991567611694336,0.14273223280906677,13.765437126159668
6,0.6688644289970398,1.067346215248108,0.322671502828598,10.894721031188965
7,0.6330734491348267,1.1569020748138428,0.28332215547561646,11.466142654418945
8,0.634735107421875,1.0240923166275024,0.2987731993198395,11.278618812561035
9,0.6572830080986023,1.0172653198242188,0.2977401614189148,11.087346076965332
10,0.686114490032196,0.9296395182609558,0.2712570130825043,10.533992767333984
11,0.681048572063446,0.9646921157836914,0.14754486083984375,12.601011276245117
12,0.6750289797782898,0.9498928785324097,0.24843749403953552,11.531753540039062
13,0.6823089718818665,0.8872005343437195,0.2288253754377365,12.150871276855469
14,0.6690658330917358,0.9599283933639526,0.22050781548023224,12.118661880493164
15,0.6999984979629517,0.8749042749404907,0.24037781357765198,11.274359703063965
16,0.7200515866279602,0.795256495475769,0.11149139702320099,13.042520523071289
17,0.7257522344589233,0.7600193023681641,0.12017669528722763,12.583597183227539
18,0.7304351925849915,0.7756848931312561,0.22312012314796448,10.292908668518066
19,0.743481457233429,0.7339121103286743,0.268637090921402,8.194673538208008
20,0.7260071039199829,0.7439630627632141,0.06477050483226776,11.960411071777344
21,0.7386261224746704,0.7026114463806152,0.1511688232421875,10.470474243164062
22,0.7381500005722046,0.7074413299560547,0.23607635498046875,9.863879203796387
23,0.7349502444267273,0.7055619359016418,0.28931885957717896,9.486237525939941
24,0.7347412109375,0.71444171667099,0.3174682557582855,9.086812019348145
25,0.7561324834823608,0.6877152323722839,0.3563430905342102,9.427958488464355
26,0.7491409182548523,0.6739486455917358,0.3603576719760895,9.229161262512207
27,0.7678970098495483,0.6353955268859863,0.302175909280777,8.893583297729492
28,0.7587143182754517,0.6551897525787354,0.33976441621780396,9.615610122680664
29,0.7729324102401733,0.6500920653343201,0.32819366455078125,8.461750984191895
30,0.7639846801757812,0.6347204446792603,0.353048712015152,8.996045112609863
31,0.7705322504043579,0.6356932520866394,0.3173324465751648,9.054841041564941
32,0.7788528203964233,0.5993636846542358,0.3252273499965668,8.152369499206543
33,0.7837631106376648,0.5774035453796387,0.3615463376045227,8.904882431030273
34,0.7919692993164062,0.578439474105835,0.3305923342704773,8.301008224487305
35,0.7998382449150085,0.565218985080719,0.3065536618232727,8.119340896606445
36,0.7967926263809204,0.5672014951705933,0.36136168241500854,8.513813972473145
37,0.7847518920898438,0.5894685983657837,0.3579879701137543,8.468283653259277
38,0.8008667230606079,0.5460253953933716,0.3619522154331207,8.27900218963623
39,0.7918335199356079,0.5657891035079956,0.368612676858902,8.055631637573242
40,0.8046493530273438,0.5401788353919983,0.3572738766670227,8.63532829284668
41,0.8066207766532898,0.5310009717941284,0.3597579896450043,8.26530933380127
42,0.816265881061554,0.4988681674003601,0.3536834716796875,8.496482849121094
43,0.8217498660087585,0.49706053733825684,0.31590574979782104,7.920655250549316
44,0.8212020993232727,0.5037771463394165,0.358145147562027,7.405606746673584
45,0.8148711919784546,0.49547845125198364,0.3624374270439148,6.543435573577881
46,0.8296645879745483,0.48284220695495605,0.3630630373954773,7.001232147216797
47,0.8363586664199829,0.45450717210769653,0.36376649141311646,7.520932197570801
48,0.8230865597724915,0.48810452222824097,0.361398309469223,7.236053466796875
49,0.8311797976493835,0.46278849244117737,0.3634445071220398,7.2404913902282715
