epoch,accuracy,loss,one_hot_mean_io_u,val_accuracy,val_loss,val_one_hot_mean_io_u
0,0.5092880129814148,1.5766795873641968,0.08770843595266342,0.2002795934677124,78.33297729492188,0.023226412013173103
1,0.5889554023742676,1.2104213237762451,0.11769242584705353,0.30924174189567566,9.155936241149902,0.037428006529808044
2,0.6129849553108215,1.1168177127838135,0.132402241230011,0.35198974609375,3.463106393814087,0.061014626175165176
3,0.6252702474594116,1.0696943998336792,0.14115405082702637,0.5267377495765686,1.9674773216247559,0.11181791126728058
4,0.6412398815155029,1.023266315460205,0.15168258547782898,0.6085752844810486,1.2766445875167847,0.1403084397315979
5,0.6548240184783936,0.9852359294891357,0.16194641590118408,0.6091651320457458,1.240289330482483,0.15672758221626282
6,0.6631366610527039,0.9590699672698975,0.16834887862205505,0.6205804944038391,1.1727031469345093,0.15797048807144165
7,0.6777722835540771,0.919855535030365,0.17903867363929749,0.6399251222610474,1.2159298658370972,0.15441176295280457
8,0.6804064512252808,0.906967282295227,0.1825578808784485,0.6508315205574036,1.0626955032348633,0.17011259496212006
9,0.6908541917800903,0.880840539932251,0.18808779120445251,0.6445760130882263,1.0771312713623047,0.16962452232837677
10,0.6982429623603821,0.8640015125274658,0.19270142912864685,0.605276346206665,1.3457975387573242,0.15882408618927002
11,0.702957272529602,0.8517399430274963,0.20134027302265167,0.6708461046218872,0.9929015636444092,0.1857425719499588
12,0.7139014601707458,0.825835645198822,0.20652636885643005,0.5966607928276062,1.2414774894714355,0.16433338820934296
13,0.71296626329422,0.8177490830421448,0.20837938785552979,0.5751436948776245,1.7353249788284302,0.15090258419513702
14,0.7269406318664551,0.7837150692939758,0.22168323397636414,0.6774948835372925,1.0289632081985474,0.1909915953874588
15,0.734331488609314,0.763606071472168,0.22760696709156036,0.6543753743171692,1.0563783645629883,0.19243773818016052
16,0.7274852395057678,0.7775320410728455,0.2259451150894165,0.6888043880462646,0.9123885631561279,0.20420929789543152
17,0.7403708100318909,0.7375673651695251,0.2373567819595337,0.6719954609870911,1.012117862701416,0.19098693132400513
18,0.7466877102851868,0.7235860824584961,0.24457566440105438,0.7004339098930359,0.8913040161132812,0.2203475534915924
19,0.7424593567848206,0.7298298478126526,0.24529516696929932,0.7023643851280212,0.9450196623802185,0.20752784609794617
20,0.753773033618927,0.7027382850646973,0.24899618327617645,0.6947379112243652,0.9052941203117371,0.21479153633117676
21,0.7590445876121521,0.6872199177742004,0.2603069543838501,0.7200254797935486,0.8481635451316833,0.21849656105041504
22,0.7649750113487244,0.6671881675720215,0.2675846815109253,0.6868810653686523,0.9606701135635376,0.19880594313144684
23,0.7667627930641174,0.6603128910064697,0.2710648477077484,0.6707426309585571,1.033703327178955,0.19907060265541077
24,0.7692646384239197,0.6536676287651062,0.27750062942504883,0.6900759935379028,0.9780045747756958,0.20253102481365204
25,0.7768845558166504,0.6282774209976196,0.2845737934112549,0.7112160921096802,0.8617768883705139,0.22710642218589783
26,0.7770786285400391,0.6282328963279724,0.2817075848579407,0.6718941926956177,1.006874442100525,0.21448726952075958
27,0.783793568611145,0.6067309975624084,0.29913395643234253,0.725113034248352,0.8431509733200073,0.2360612154006958
28,0.7901210784912109,0.5908595323562622,0.30954688787460327,0.7142738103866577,0.862440288066864,0.23031075298786163
29,0.7924740314483643,0.5804409980773926,0.30915015935897827,0.6888481378555298,1.0062689781188965,0.23220400512218475
30,0.7953544855117798,0.5741540193557739,0.3155940771102905,0.703302264213562,0.8953390717506409,0.23772573471069336
31,0.7979580163955688,0.563206136226654,0.3238382339477539,0.7044960856437683,0.8842982649803162,0.25134462118148804
32,0.8049116134643555,0.5468456149101257,0.32855114340782166,0.7157618999481201,0.8725717663764954,0.24298134446144104
33,0.8141213059425354,0.5211653709411621,0.3413486182689667,0.7018143534660339,0.9042418003082275,0.23458877205848694
34,0.8158369064331055,0.5148330330848694,0.3472573757171631,0.7094268798828125,0.909348726272583,0.24463029205799103
35,0.8191717863082886,0.5022732019424438,0.3500887155532837,0.7327600121498108,0.8287677764892578,0.2550273835659027
36,0.8215126395225525,0.49803853034973145,0.3559029698371887,0.7193676233291626,0.8661591410636902,0.25771307945251465
37,0.8276766538619995,0.48156821727752686,0.3615678548812866,0.7023733854293823,0.9189367294311523,0.23810982704162598
38,0.8347408175468445,0.4595434069633484,0.37302690744400024,0.736994743347168,0.8385345339775085,0.27074646949768066
39,0.8298858404159546,0.4736406207084656,0.37596839666366577,0.7106196880340576,0.9309508800506592,0.24757306277751923
40,0.8399015665054321,0.44244712591171265,0.3876669406890869,0.7193093299865723,0.8547641634941101,0.26750215888023376
41,0.8410981893539429,0.4419533610343933,0.37958091497421265,0.7141005992889404,1.0242925882339478,0.24368807673454285
42,0.8424528241157532,0.43812063336372375,0.37870150804519653,0.7141762971878052,0.9215216040611267,0.25695350766181946
43,0.8494800925254822,0.4180581867694855,0.39754170179367065,0.7103841304779053,0.914479672908783,0.26237383484840393
44,0.8572635650634766,0.3971914052963257,0.41193294525146484,0.7122901678085327,0.9941129684448242,0.26112163066864014
45,0.8607048988342285,0.3859765827655792,0.4214998781681061,0.6965727210044861,1.0004730224609375,0.2515774667263031
46,0.8635047674179077,0.381271630525589,0.4229511618614197,0.7273620367050171,0.8960992097854614,0.27431660890579224
47,0.8658121228218079,0.375601589679718,0.4407831132411957,0.7070890665054321,0.9310839176177979,0.2727139890193939
48,0.865465521812439,0.376412034034729,0.43749627470970154,0.6778958439826965,1.0873245000839233,0.2528685927391052
49,0.8645951151847839,0.37988924980163574,0.4339228570461273,0.7250177264213562,0.9551162719726562,0.2711978852748871
50,0.871336042881012,0.35905012488365173,0.4499146044254303,0.7077255845069885,0.9304304718971252,0.2783052921295166
51,0.875794529914856,0.3461727797985077,0.45537710189819336,0.7174028754234314,0.9476059675216675,0.268161803483963
52,0.8738440275192261,0.35610249638557434,0.4499902129173279,0.7146649956703186,0.9240030646324158,0.2769991457462311
53,0.8815107941627502,0.33379602432250977,0.4774456024169922,0.7137826085090637,0.9700852632522583,0.2752385139465332
54,0.8818597793579102,0.3300902545452118,0.4816669523715973,0.700822114944458,0.97477787733078,0.27301156520843506
55,0.8888592720031738,0.31118035316467285,0.4980495572090149,0.7192984223365784,0.9917975068092346,0.2865374982357025
56,0.8951002955436707,0.29395759105682373,0.5196863412857056,0.7132598757743835,0.993588924407959,0.27214476466178894
57,0.896486222743988,0.28939032554626465,0.5138097405433655,0.7258297801017761,0.9510073661804199,0.29031121730804443
58,0.8991018533706665,0.2832261919975281,0.5383293032646179,0.7250064015388489,0.9840366244316101,0.2832595109939575
59,0.897527813911438,0.285399466753006,0.5475832223892212,0.7279632687568665,0.9901407361030579,0.286764532327652
60,0.9041621088981628,0.267764151096344,0.567093014717102,0.709025502204895,0.9825509190559387,0.288662314414978
61,0.9043240547180176,0.26794397830963135,0.5656896829605103,0.7342727184295654,1.021481990814209,0.27479398250579834
62,0.9064251780509949,0.2614053189754486,0.5702577829360962,0.7044398784637451,1.076581358909607,0.27909278869628906
63,0.9052825570106506,0.2655012607574463,0.5566359758377075,0.7072376012802124,1.0081759691238403,0.28158196806907654
64,0.9044381380081177,0.2678201198577881,0.5505657196044922,0.7280247211456299,1.044966459274292,0.2731073796749115
65,0.9060201048851013,0.26315444707870483,0.5705845952033997,0.7385848164558411,0.9798972010612488,0.2946493923664093
66,0.9109697341918945,0.24948357045650482,0.5915575623512268,0.7022325992584229,1.081535816192627,0.2791384160518646
67,0.9161208868026733,0.23347312211990356,0.6158618330955505,0.7193260788917542,1.0047953128814697,0.29404500126838684
68,0.9186808466911316,0.2265554815530777,0.6217123866081238,0.7276281714439392,1.0337553024291992,0.28937870264053345
69,0.91610187292099,0.23333394527435303,0.6348039507865906,0.7293657660484314,1.032117247581482,0.2928197979927063
70,0.9167026281356812,0.23175616562366486,0.623062014579773,0.728685200214386,1.021494746208191,0.28990158438682556
71,0.9205400347709656,0.22064010798931122,0.6320160627365112,0.7181774377822876,1.0953843593597412,0.286247581243515
72,0.9209687113761902,0.2204384058713913,0.6248694658279419,0.7312023639678955,1.031941294670105,0.287483274936676
73,0.9229449033737183,0.21439792215824127,0.6336683034896851,0.7120324969291687,1.0761669874191284,0.28888002038002014
74,0.9253383874893188,0.20773187279701233,0.6520401239395142,0.6964108347892761,1.1558305025100708,0.27512750029563904
75,0.9091987609863281,0.2557724416255951,0.5972498655319214,0.64859938621521,1.5977745056152344,0.2172999382019043
76,0.8816319704055786,0.3380581736564636,0.4985036849975586,0.701603889465332,1.1939772367477417,0.25956475734710693
77,0.9141732454299927,0.24121986329555511,0.5873066186904907,0.7090202569961548,1.1008676290512085,0.27943119406700134
78,0.9232820272445679,0.2126615345478058,0.6405333280563354,0.7338926792144775,1.0221683979034424,0.306030809879303
