epoch,accuracy,loss,one_hot_mean_io_u,val_accuracy,val_loss,val_one_hot_mean_io_u
0,0.7127736210823059,0.9515596032142639,0.1509903520345688,0.5929828882217407,1.7075493335723877,0.10121254622936249
1,0.7727024555206299,0.7303942441940308,0.20733559131622314,0.6181758046150208,1.6340959072113037,0.11529014259576797
2,0.7904880046844482,0.6751193404197693,0.22670583426952362,0.6339256167411804,1.0942405462265015,0.13972683250904083
3,0.8013683557510376,0.6411479115486145,0.23306331038475037,0.7559925317764282,1.1044275760650635,0.1650455743074417
4,0.808752715587616,0.6152029037475586,0.24702677130699158,0.7719805240631104,0.8378057479858398,0.19945049285888672
5,0.8227569460868835,0.5675113797187805,0.26144763827323914,0.6783661246299744,0.9552340507507324,0.19280120730400085
6,0.8269912600517273,0.5569770336151123,0.2678203582763672,0.7900161147117615,0.7479463815689087,0.21960310637950897
7,0.8342821598052979,0.5371229648590088,0.2771579623222351,0.36568334698677063,4.15519380569458,0.0792497843503952
8,0.8353835344314575,0.5231770873069763,0.2819317579269409,0.5659955143928528,1.2742518186569214,0.18359293043613434
9,0.8385636806488037,0.5193841457366943,0.2842092216014862,0.7844604849815369,0.6865379214286804,0.2225581705570221
10,0.8463090658187866,0.4882875978946686,0.29424482583999634,0.7642973065376282,0.7466775178909302,0.22401824593544006
11,0.8470882773399353,0.49156564474105835,0.301049143075943,0.8251774311065674,0.5782378911972046,0.257759153842926
12,0.8506300449371338,0.47626352310180664,0.30424466729164124,0.8303561806678772,0.5565810203552246,0.25798171758651733
13,0.8578453063964844,0.452759325504303,0.3190401494503021,0.8219849467277527,0.5987220406532288,0.25868719816207886
14,0.8551840782165527,0.4607977867126465,0.30998924374580383,0.817384660243988,0.5846051573753357,0.28264206647872925
15,0.8632920980453491,0.42957496643066406,0.32998988032341003,0.8192035555839539,0.6324434876441956,0.2452302873134613
16,0.8576071262359619,0.44312629103660583,0.3228400647640228,0.7528415322303772,0.9024841785430908,0.22671373188495636
17,0.8645800948143005,0.42580634355545044,0.33105605840682983,0.8049740195274353,0.6308812499046326,0.23642630875110626
18,0.867005467414856,0.4164258539676666,0.3433613181114197,0.5696531534194946,0.98319011926651,0.19186200201511383
19,0.8732433915138245,0.39792898297309875,0.34822946786880493,0.8391068577766418,0.5575100779533386,0.2770437002182007
20,0.8689742088317871,0.41167712211608887,0.34252336621284485,0.8085837364196777,0.643814206123352,0.26426902413368225
